metrica,valor
total_transacoes,22078916495.0
valor_total_movimentado,9355978601819.111
ticket_medio_geral,423.75170918998083
maior_mes_quantidade,202605
maior_mes_valor,202607
economia_estimativa_total_cartao,93746905590.2275
economia_estimativa_total_transferencia,231828623197.5
